,playerid,injury_start_date,injury_end_date,days_injured
96,150249,2009-04-22T00:00:00,2009-06-09T00:00:00,48
97,425466,2009-04-23T00:00:00,2009-06-29T00:00:00,67
98,124805,2009-04-23T00:00:00,2009-05-15T00:00:00,22
99,119984,2009-04-23T00:00:00,2009-05-04T00:00:00,11
100,110236,2009-04-24T00:00:00,2009-05-05T00:00:00,11
101,425426,2009-04-24T00:00:00,2009-05-22T00:00:00,28
102,285068,2009-04-25T00:00:00,2009-06-24T00:00:00,60
103,430663,2009-04-25T00:00:00,2009-05-19T00:00:00,24
104,279827,2009-04-25T00:00:00,2009-05-12T00:00:00,17
105,435263,2009-04-25T00:00:00,2009-05-08T00:00:00,13
106,475022,2009-04-25T00:00:00,2009-10-20T00:00:00,178
107,429718,2009-04-26T00:00:00,2009-11-01T00:00:00,189
108,276354,2009-04-26T00:00:00,2009-11-06T00:00:00,194
109,400083,2009-04-28T00:00:00,2009-05-26T00:00:00,28
110,429665,2009-04-28T00:00:00,2009-08-01T00:00:00,95
111,407878,2009-04-28T00:00:00,2009-06-13T00:00:00,46
112,407885,2009-04-29T00:00:00,2009-06-28T00:00:00,60
113,114596,2009-04-29T00:00:00,2009-05-22T00:00:00,23
114,400098,2009-04-29T00:00:00,2009-06-05T00:00:00,37
115,425557,2009-04-29T00:00:00,2009-05-24T00:00:00,25
116,407576,2009-04-29T00:00:00,2009-05-14T00:00:00,15
117,429981,2009-04-30T00:00:00,2009-06-13T00:00:00,44
118,453895,2009-04-30T00:00:00,2009-05-15T00:00:00,15
119,285078,2009-05-01T00:00:00,2009-05-12T00:00:00,11
120,136767,2009-05-01T00:00:00,2009-11-06T00:00:00,189
121,435042,2009-05-01T00:00:00,2009-07-20T00:00:00,80
122,425539,2009-05-02T00:00:00,2009-07-27T00:00:00,86
123,501925,2009-05-02T00:00:00,2009-06-09T00:00:00,38
124,430610,2009-05-02T00:00:00,2009-09-01T00:00:00,122
125,453344,2009-05-02T00:00:00,2009-05-09T00:00:00,7
126,433586,2009-05-02T00:00:00,2009-05-15T00:00:00,13
127,150122,2009-05-03T00:00:00,2009-08-21T00:00:00,110
128,430640,2009-05-03T00:00:00,2009-06-02T00:00:00,30
129,111492,2009-05-04T00:00:00,2009-07-29T00:00:00,86
130,114971,2009-05-04T00:00:00,2009-08-11T00:00:00,99
131,407296,2009-05-04T00:00:00,2009-05-22T00:00:00,18
132,120691,2009-05-05T00:00:00,2009-05-29T00:00:00,24
133,136722,2009-05-05T00:00:00,2009-07-24T00:00:00,80
134,518875,2009-05-06T00:00:00,2009-07-03T00:00:00,58
135,112316,2009-05-06T00:00:00,2009-06-19T00:00:00,44
136,424144,2009-05-07T00:00:00,2009-07-08T00:00:00,62
137,150449,2009-05-07T00:00:00,2009-05-24T00:00:00,17
138,434671,2009-05-08T00:00:00,2009-06-02T00:00:00,25
139,150040,2009-05-08T00:00:00,2009-07-08T00:00:00,61
140,433589,2009-05-09T00:00:00,2009-11-04T00:00:00,179
141,133380,2009-05-09T00:00:00,2009-07-06T00:00:00,58
142,400067,2009-05-09T00:00:00,2009-09-15T00:00:00,129
143,114354,2009-05-10T00:00:00,2009-10-14T00:00:00,157
144,465657,2009-05-11T00:00:00,2009-06-02T00:00:00,22
145,425903,2009-05-12T00:00:00,2009-05-20T00:00:00,8
146,433582,2009-05-12T00:00:00,2009-11-20T00:00:00,192
147,407886,2009-05-13T00:00:00,2009-05-29T00:00:00,16
148,407783,2009-05-14T00:00:00,2009-06-10T00:00:00,27
149,425146,2009-05-14T00:00:00,2009-05-21T00:00:00,7
150,425904,2009-05-15T00:00:00,2009-10-12T00:00:00,150
151,435520,2009-05-15T00:00:00,2009-09-04T00:00:00,112
152,407911,2009-05-16T00:00:00,2009-05-22T00:00:00,6
153,432928,2009-05-16T00:00:00,2009-05-27T00:00:00,11
154,113232,2009-05-16T00:00:00,2009-11-05T00:00:00,173
155,435179,2009-05-17T00:00:00,2009-06-29T00:00:00,43
156,407884,2009-05-17T00:00:00,2009-10-26T00:00:00,162
157,150100,2009-05-17T00:00:00,2009-06-12T00:00:00,26
158,435500,2009-05-18T00:00:00,2009-10-09T00:00:00,144
159,133321,2009-05-18T00:00:00,2009-06-02T00:00:00,15
160,457935,2009-05-18T00:00:00,2009-06-05T00:00:00,18
161,430001,2009-05-19T00:00:00,2009-11-06T00:00:00,171
162,450282,2009-05-19T00:00:00,2009-06-16T00:00:00,28
163,434665,2009-05-19T00:00:00,2009-05-26T00:00:00,7
164,452668,2009-05-20T00:00:00,2009-07-01T00:00:00,42
165,408299,2009-05-21T00:00:00,2009-08-11T00:00:00,82
166,407792,2009-05-21T00:00:00,2009-11-16T00:00:00,179
167,450172,2009-05-21T00:00:00,2009-06-01T00:00:00,11
168,449082,2009-05-21T00:00:00,2009-11-09T00:00:00,172
169,425848,2009-05-22T00:00:00,2009-06-13T00:00:00,22
170,218894,2009-05-22T00:00:00,2009-06-02T00:00:00,11
171,431148,2009-05-22T00:00:00,2009-06-27T00:00:00,36
172,120401,2009-05-22T00:00:00,2009-11-05T00:00:00,167
173,435039,2009-05-23T00:00:00,2009-11-18T00:00:00,179
174,430594,2009-05-23T00:00:00,2009-06-19T00:00:00,27
175,444836,2009-05-23T00:00:00,2009-07-08T00:00:00,46
176,400076,2009-05-24T00:00:00,2009-07-11T00:00:00,48
177,449107,2009-05-24T00:00:00,2009-11-16T00:00:00,176
178,434565,2009-05-24T00:00:00,2009-11-01T00:00:00,161
179,455104,2009-05-24T00:00:00,2009-06-09T00:00:00,16
180,493127,2009-05-25T00:00:00,2009-08-29T00:00:00,96
181,122195,2009-05-25T00:00:00,2009-07-27T00:00:00,63
182,430583,2009-05-26T00:00:00,2009-06-15T00:00:00,20
183,408314,2009-05-26T00:00:00,2009-10-14T00:00:00,141
184,425508,2009-05-26T00:00:00,2009-06-07T00:00:00,12
185,430663,2009-05-26T00:00:00,2009-10-28T00:00:00,155
186,428642,2009-05-26T00:00:00,2009-09-19T00:00:00,116
187,493157,2009-05-27T00:00:00,2009-06-11T00:00:00,15
188,114596,2009-05-27T00:00:00,2009-06-12T00:00:00,16
189,276912,2009-05-27T00:00:00,2009-11-12T00:00:00,169
190,425446,2009-05-27T00:00:00,2009-06-10T00:00:00,14
191,150472,2009-05-28T00:00:00,2009-06-25T00:00:00,28
192,435041,2009-05-29T00:00:00,2009-07-20T00:00:00,52
193,457448,2009-05-29T00:00:00,2009-06-17T00:00:00,19
194,425867,2009-05-29T00:00:00,2009-06-18T00:00:00,20
195,349193,2009-05-29T00:00:00,2009-10-16T00:00:00,140
196,458015,2009-05-30T00:00:00,2009-06-23T00:00:00,24
197,430565,2009-05-30T00:00:00,2009-06-16T00:00:00,17
198,346857,2009-05-30T00:00:00,2009-06-12T00:00:00,13
199,429710,2009-05-30T00:00:00,2009-06-30T00:00:00,31
200,408206,2009-05-30T00:00:00,2009-11-06T00:00:00,160
201,407833,2009-05-31T00:00:00,2009-07-06T00:00:00,36
202,429713,2009-05-31T00:00:00,2009-06-23T00:00:00,23
203,445590,2009-05-31T00:00:00,2009-07-02T00:00:00,32
204,453264,2009-05-31T00:00:00,2009-07-09T00:00:00,39
205,429783,2009-06-01T00:00:00,2009-11-14T00:00:00,166
206,434636,2009-06-01T00:00:00,2009-07-10T00:00:00,39
207,285078,2009-06-01T00:00:00,2009-07-06T00:00:00,35
208,450172,2009-06-02T00:00:00,2009-11-16T00:00:00,167
209,132260,2009-06-02T00:00:00,2009-07-18T00:00:00,46
210,150337,2009-06-02T00:00:00,2009-06-15T00:00:00,13
211,452678,2009-06-03T00:00:00,2009-06-28T00:00:00,25
212,435658,2009-06-03T00:00:00,2009-10-12T00:00:00,131
213,134002,2009-06-03T00:00:00,2009-11-06T00:00:00,156
214,285131,2009-06-04T00:00:00,2009-07-10T00:00:00,36
215,434671,2009-06-05T00:00:00,2009-08-21T00:00:00,77
216,346798,2009-06-05T00:00:00,2009-07-12T00:00:00,37
217,407816,2009-06-05T00:00:00,2009-11-07T00:00:00,155
218,425773,2009-06-07T00:00:00,2009-06-16T00:00:00,9
219,132980,2009-06-07T00:00:00,2009-06-27T00:00:00,20
220,435220,2009-06-08T00:00:00,2009-06-18T00:00:00,10
221,466412,2009-06-08T00:00:00,2009-06-26T00:00:00,18
222,435221,2009-06-09T00:00:00,2009-09-01T00:00:00,84
223,112526,2009-06-09T00:00:00,2009-07-24T00:00:00,45
224,400058,2009-06-09T00:00:00,2009-06-25T00:00:00,16
225,119853,2009-06-11T00:00:00,2009-07-12T00:00:00,31
226,462956,2009-06-12T00:00:00,2009-07-13T00:00:00,31
227,425827,2009-06-12T00:00:00,2009-09-01T00:00:00,81
228,113961,2009-06-12T00:00:00,2009-07-05T00:00:00,23
229,429720,2009-06-12T00:00:00,2009-09-13T00:00:00,93
