,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,playerid,injury_start_date,injury_end_date
74,74,74,74,502082,2019-03-28T00:00:00,2019-10-31T00:00:00
75,75,75,75,553869,2019-03-28T00:00:00,2019-04-21T00:00:00
76,76,76,76,543475,2019-03-28T00:00:00,2019-04-04T00:00:00
77,77,77,77,591741,2019-03-28T00:00:00,2019-05-03T00:00:00
78,78,78,78,570256,2019-03-28T00:00:00,2019-04-22T00:00:00
79,79,79,79,543734,2019-03-28T00:00:00,2019-05-31T00:00:00
80,80,80,80,622608,2019-03-28T00:00:00,2019-07-21T00:00:00
81,81,81,81,621366,2019-03-28T00:00:00,2019-07-22T00:00:00
82,82,82,82,453329,2019-03-28T00:00:00,2019-04-13T00:00:00
83,83,83,83,475479,2019-03-28T00:00:00,2019-06-17T00:00:00
84,84,84,84,572193,2019-03-28T00:00:00,2019-04-18T00:00:00
85,85,85,85,621121,2019-03-28T00:00:00,2019-11-04T00:00:00
86,86,86,86,501925,2019-03-28T00:00:00,2019-07-12T00:00:00
87,87,87,87,641505,2019-03-28T00:00:00,2019-04-24T00:00:00
88,88,88,88,501817,2019-03-28T00:00:00,2019-06-27T00:00:00
89,89,89,89,458584,2019-03-28T00:00:00,2019-05-11T00:00:00
90,90,90,90,453344,2019-03-28T00:00:00,2019-11-04T00:00:00
91,91,91,91,519008,2019-03-28T00:00:00,2019-04-30T00:00:00
92,92,92,92,519306,2019-03-28T00:00:00,2019-11-04T00:00:00
93,93,93,93,607455,2019-03-28T00:00:00,2019-08-23T00:00:00
94,94,94,94,592254,2019-03-28T00:00:00,2019-07-03T00:00:00
95,95,95,95,596019,2019-03-28T00:00:00,2019-04-20T00:00:00
96,96,96,96,608652,2019-03-28T00:00:00,2019-08-23T00:00:00
97,97,97,97,605548,2019-03-28T00:00:00,2019-08-30T00:00:00
98,98,98,98,622795,2019-03-28T00:00:00,2019-08-26T00:00:00
99,99,99,99,543401,2019-03-28T00:00:00,2019-04-15T00:00:00
100,100,100,100,518595,2019-03-28T00:00:00,2019-04-07T00:00:00
101,101,101,101,622098,2019-03-28T00:00:00,2019-11-04T00:00:00
102,102,102,102,621294,2019-03-28T00:00:00,2019-09-10T00:00:00
103,103,103,103,622663,2019-03-28T00:00:00,2019-09-17T00:00:00
104,104,104,104,607468,2019-03-28T00:00:00,2019-06-14T00:00:00
105,105,105,105,592332,2019-03-28T00:00:00,2019-04-05T00:00:00
106,106,106,106,596720,2019-03-28T00:00:00,2019-04-16T00:00:00
107,107,107,107,518566,2019-03-28T00:00:00,2019-04-08T00:00:00
108,108,108,108,607374,2019-03-28T00:00:00,2019-04-28T00:00:00
109,109,109,109,571561,2019-03-28T00:00:00,2019-10-31T00:00:00
110,110,110,110,448179,2019-03-28T00:00:00,2019-04-28T00:00:00
111,111,111,111,477132,2019-03-28T00:00:00,2019-04-15T00:00:00
112,112,112,112,660271,2019-03-28T00:00:00,2019-05-07T00:00:00
113,113,113,113,457708,2019-03-28T00:00:00,2019-06-17T00:00:00
114,114,114,114,641684,2019-03-28T00:00:00,2019-06-03T00:00:00
115,115,115,115,571760,2019-03-28T00:00:00,2019-05-26T00:00:00
116,116,116,116,592314,2019-03-28T00:00:00,2019-06-23T00:00:00
